"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","Adriatic_Sea","Aegean_Sea","Alboran_Sea","Ionian_Sea","Levantine_Sea","Western_Mediterranean"
"Pteroplatytrygon violacea","species","Pteroplatytrygon violacea","Pteroplatytrygon violacea","Pteroplatytrygon","Pteroplatytrygon","Dasyatidae",0,0,0,16,0,69
"Raja","genus",NA,NA,"Raja","Raja","Rajidae",0,0,0,0,0,13938
"Raja brachyura","species","Raja brachyura","Raja brachyura","Raja","Raja","Rajidae",0,0,0,0,0,696
"Repomucenus","genus",NA,NA,"Repomucenus","Repomucenus","Callionymidae",0,0,0,0,59,0
"Repomucenus filamentosus","species","Repomucenus filamentosus","Callionymus filamentosus","Repomucenus","Callionymus","Callionymidae",0,0,0,0,8315,0
"Rhinobatos rhinobatos","species","Rhinobatos rhinobatos","Rhinobatos rhinobatos","Rhinobatos","Rhinobatos","Rhinobatidae",0,0,0,0,66,0
"Salaria","genus",NA,NA,"Salaria","Salaria","Blenniidae",0,0,0,3109,0,4485
"Salmo","genus",NA,NA,"Salmo","Salmo","Salmonidae",0,0,0,0,2063,0
"Salmo salar","species","Salmo salar","Salmo salar","Salmo","Salmo","Salmonidae",0,0,0,507,0,0
"Salmonidae","family",NA,NA,NA,NA,"Salmonidae",0,0,0,0,87,576
"Sarda","genus",NA,NA,"Sarda","Sarda","Scombridae",0,0,0,0,0,17
"Sarda sarda","species","Sarda sarda","Sarda sarda","Sarda","Sarda","Scombridae",0,0,67,4613,0,17322
"Sardina pilchardus","species","Sardina pilchardus","Sardina pilchardus","Sardina","Sardina","Clupeidae",312,0,19872,602,352,1732401
"Sardinella","genus",NA,NA,"Sardinella","Sardinella","Clupeidae",159921,26083,424054,95580,5854,1960265
"Sardinella longiceps","species","Sardinella longiceps","Sardinella longiceps","Sardinella","Sardinella","Clupeidae",0,0,0,0,0,64
"Sargocentron","genus",NA,NA,"Sargocentron","Sargocentron","Holocentridae",0,1334,0,0,12902,0
"Sarpa salpa","species","Sarpa salpa","Sarpa salpa","Sarpa","Sarpa","Sparidae",29815,4156,3036,129808,1932,5395666
"Saurida lessepsianus","species","Saurida lessepsianus","Saurida lessepsianus","Saurida","Saurida","Synodontidae",0,0,0,0,3623,0
"Scartella cristata","species","Scartella cristata","Scartella cristata","Scartella","Scartella","Blenniidae",0,0,0,1312,0,155
